Season,Champion,Constructor Champion,Races,Drivers,Teams
2025,,,24,21,10
2024,Max Verstappen,McLaren,24,24,10
2023,Max Verstappen,Red Bull,22,22,10
2022,Max Verstappen,Red Bull,22,22,10
2021,Max Verstappen,Mercedes,22,21,10
2020,Lewis Hamilton,Mercedes,17,23,10
2019,Lewis Hamilton,Mercedes,21,20,10
2018,Lewis Hamilton,Mercedes,21,20,10
2017,Lewis Hamilton,Mercedes,20,25,10
2016,Nico Rosberg,Mercedes,21,24,11
2015,Lewis Hamilton,Mercedes,19,22,10
2014,Lewis Hamilton,Mercedes,19,25,11
2013,Sebastian Vettel,Red Bull,19,23,11
2012,Sebastian Vettel,Red Bull,20,25,12
2011,Sebastian Vettel,Red Bull,19,28,12
2010,Sebastian Vettel,Red Bull,19,27,12
2009,Jenson Button,Brawn,17,25,10
2008,Lewis Hamilton,Ferrari,18,22,11
2007,Kimi Räikkönen,Ferrari,17,26,11
2006,Fernando Alonso,Renault,18,27,11
2005,Fernando Alonso,Renault,19,27,10
2004,Michael Schumacher,Ferrari,18,25,10
2003,Michael Schumacher,Ferrari,16,24,10
2002,Michael Schumacher,Ferrari,17,23,11
2001,Michael Schumacher,Ferrari,17,26,11
2000,Michael Schumacher,Ferrari,17,23,11
1999,Mika Häkkinen,Ferrari,16,24,11
1998,Mika Häkkinen,McLaren,16,23,11
1997,Jacques Villeneuve,Williams,17,28,12
1996,Damon Hill,Williams,16,24,11
1995,Michael Schumacher,Benetton,17,35,13
1994,Michael Schumacher,Williams,16,46,14
1993,Alain Prost,Williams,16,35,13
1992,Nigel Mansell,Williams,16,39,16
1991,Ayrton Senna,McLaren,16,41,18
1990,Ayrton Senna,McLaren,16,40,19
1989,Alain Prost,McLaren,16,47,20
1988,Ayrton Senna,McLaren,16,36,18
1987,Nelson Piquet,Williams,16,32,16
1986,Alain Prost,Williams,16,32,14
1985,Alain Prost,McLaren,16,36,17
1984,Niki Lauda,McLaren,16,35,15
1983,Nelson Piquet,Ferrari,15,35,16
1982,Keke Rosberg,Ferrari,16,40,17
1981,Nelson Piquet,Williams,15,39,17
1980,Alan Jones,Williams,14,41,15
1979,Jody Scheckter,Ferrari,15,36,18
1978,Mario Andretti,Lotus,16,48,20
1977,Niki Lauda,Ferrari,17,61,21
1976,James Hunt,Ferrari,16,55,20
1975,Niki Lauda,Ferrari,14,52,19
1974,Emerson Fittipaldi,McLaren,15,62,20
1973,Jackie Stewart,Lotus,15,44,12
1972,Emerson Fittipaldi,Lotus,12,44,13
1971,Jackie Stewart,Tyrrell,11,50,10
1970,Jochen Rindt,Lotus,13,43,11
1969,Jackie Stewart,Matra,11,42,10
1968,Graham Hill,Lotus,12,44,11
1967,Denny Hulme,Brabham,11,47,12
1966,Jack Brabham,Brabham,9,43,10
1965,Jim Clark,Lotus,10,52,8
1964,John Surtees,Ferrari,10,42,10
1963,Jim Clark,Lotus,10,54,15
1962,Graham Hill,BRM,9,51,12
1961,Phil Hill,Ferrari,8,54,10
1960,Jack Brabham,Cooper,10,91,22
1959,Jack Brabham,Cooper,9,88,25
1958,Mike Hawthorn,Vanwall,11,87,17
1957,Juan Manuel Fangio,,8,76,15
1956,Juan Manuel Fangio,,8,85,16
1955,Juan Manuel Fangio,,7,84,20
1954,Juan Manuel Fangio,,9,97,20
1953,Alberto Ascari,,9,110,23
1952,Alberto Ascari,,8,108,31
1951,Juan Manuel Fangio,,8,85,25
1950,Nino Farina,,7,81,24
